SPEEDREL,STATE,FATALS,MDRDSTRD,DAY_WEEK,ST_CASE
0,1,2,99,1,10755
0,1,1,0,5,10756
9,1,1,99,2,10757
16,1,1,131,1,10758
0,1,1,99,1,10759
3,1,2,99,7,10760
0,1,1,99,3,10761
18,1,2,99,1,10762
3,1,1,1,5,10763
0,1,1,0,4,10764
3,1,1,0,4,10765
0,1,1,0,6,10766
0,1,1,6,3,10767
9,1,1,99,7,10768
0,1,1,0,1,10769
0,1,1,0,3,10770
0,1,1,99,4,10771
0,1,1,0,1,10772
0,1,1,99,2,10773
0,1,1,99,6,10774
0,1,1,0,1,10775
0,1,1,99,2,10776
4,1,>2,0,7,10777
0,1,1,99,4,10778
0,1,1,0,6,10779
0,1,1,0,6,10780
0,1,1,0,7,10781
0,1,1,3,7,10782
0,1,1,0,7,10783
4,1,>2,0,6,10784
3,2,1,0,5,20001
0,2,1,3,6,20002
0,2,1,96,4,20003
9,2,1,99,7,20004
0,2,1,0,4,20005
9,2,1,99,5,20006
3,2,1,99,1,20007
9,2,1,99,6,20008
14,2,2,294,6,20009
3,2,1,99,7,20010
0,2,1,0,2,20011
3,2,1,99,1,20012
4,2,1,96,1,20013
3,2,1,99,1,20014
0,2,1,113,7,20015
0,2,1,99,7,20016
0,2,1,99,1,20017
9,2,1,99,7,20018
0,2,1,96,4,20019
4,2,1,99,1,20020
9,2,1,12,6,20021
0,2,1,0,7,20022
9,2,1,99,5,20023
3,2,1,12,7,20024
0,2,1,98,6,20025
0,2,1,99,4,20026
3,2,1,0,6,20027
0,2,1,288,6,20028
0,2,1,0,2,20029
9,2,1,99,7,20030
4,2,2,198,6,20031
0,2,1,12,7,20032
9,2,1,99,6,20033
0,2,1,12,7,20034
0,2,1,576,6,20035
0,2,2,99,4,20036
3,2,1,0,4,20037
0,2,1,0,5,20038
4,2,1,99,3,20039
0,2,1,198,7,20040
4,2,1,6,1,20041
0,2,1,96,2,20042
9,2,1,99,6,20043
0,2,1,192,3,20044
9,2,1,99,1,20045
2,2,1,96,4,20046
0,2,1,0,4,20047
0,2,1,13,7,20048
0,2,1,96,1,20049
0,2,1,102,4,20050
0,2,1,96,3,20051
9,2,1,9,5,20052
0,2,1,96,4,20053
3,2,1,99,7,20054
3,2,>2,198,3,20055
4,2,1,99,7,20056
0,2,1,0,3,20057
0,2,1,0,5,20058
0,2,1,3,7,20059
9,2,1,99,3,20060
9,4,1,99,5,40001
4,4,1,0,5,40002
0,4,1,5,7,40003
4,4,1,0,1,40004
5,4,1,99,2,40005
0,4,1,0,3,40006
4,4,1,0,6,40007
0,4,1,1,6,40008
5,4,1,0,7,40009
0,4,2,0,1,40010
4,4,1,0,1,40011
4,4,1,0,3,40012
4,4,2,0,4,40013
9,4,1,99,4,40014
4,4,1,17,4,40015
0,4,1,1,4,40016
0,4,1,0,6,40017
4,4,1,1,6,40018
0,4,1,17,7,40019
0,4,1,0,7,40022
3,4,1,0,7,40023
4,4,1,0,1,40024
0,4,1,0,2,40025
4,4,1,0,3,40026
0,4,1,0,3,40027
4,4,1,0,4,40028
0,4,2,0,5,40029
0,4,>2,0,6,40030
4,4,2,0,6,40031
0,4,1,0,7,40032
0,4,1,0,6,40033
4,4,1,0,1,40034
4,4,1,17,5,40036
0,4,1,0,6,40037
4,4,1,7,6,40038
0,4,1,0,6,40039
4,4,1,0,1,40040
9,4,1,99,2,40041
3,4,1,99,4,40042
0,4,1,198,5,40043
0,4,1,99,7,40044
4,4,1,12,7,40045
4,4,1,99,7,40046
0,4,1,198,7,40047
0,4,1,99,7,40048
4,4,1,99,5,40049
0,4,1,0,1,40050
4,4,1,99,6,40051
3,4,1,0,7,40052
0,4,1,0,2,40053
4,4,1,0,7,40054
4,4,1,0,5,40055
9,4,1,99,6,40056
18,4,1,198,7,40057
4,4,1,0,1,40058
0,4,1,99,4,40059
4,4,1,0,7,40060
0,4,1,0,2,40061
9,4,1,99,5,40062
0,4,1,1,6,40063
4,4,1,99,3,40064
0,4,1,12,3,40065
4,4,1,0,4,40066
0,4,1,99,5,40067
8,4,1,99,5,40068
0,4,>2,17,5,40069
0,4,1,0,6,40070
0,4,1,0,7,40071
0,4,1,100,7,40072
0,4,1,0,2,40073
0,4,1,0,4,40074
0,4,1,100,5,40075
4,4,1,0,6,40076
0,4,1,1,6,40077
0,4,1,99,1,40078
3,4,1,99,1,40079
0,4,1,0,1,40080
4,4,1,99,2,40081
0,4,1,1,2,40082
0,4,1,99,3,40083
0,4,1,12,4,40084
4,4,1,99,4,40085
0,4,1,0,5,40086
9,4,1,99,6,40087
0,4,>2,0,6,40088
9,4,1,99,6,40089
9,4,1,99,6,40090
4,4,1,99,1,40091
0,4,1,99,3,40092
4,4,1,6,4,40093
0,4,1,0,5,40094
0,4,1,0,6,40095
0,4,1,0,6,40096
0,4,1,0,2,40097
0,4,1,99,5,40098
4,4,1,0,3,40099
9,4,1,99,5,40100
9,4,1,99,3,40102
0,4,1,0,4,40103
3,4,1,0,4,40104
4,4,2,99,5,40105
0,4,1,99,6,40106
0,4,1,0,7,40108
14,4,1,99,7,40109
3,4,1,99,1,40110
0,4,1,0,1,40111
0,4,1,1,1,40112
0,4,1,1,5,40113
4,4,1,99,5,40114
9,4,1,99,6,40115
9,4,1,99,7,40116
3,4,1,0,1,40117
4,4,1,0,1,40118
3,4,1,0,2,40119
9,4,1,99,6,40120
9,4,1,99,6,40121
9,4,1,100,6,40122
9,4,1,99,7,40123
0,4,1,198,2,40124
0,4,1,0,2,40125
4,4,1,99,3,40126
0,4,1,198,6,40127
0,4,1,96,7,40128
3,4,1,0,7,40129
4,4,1,99,1,40130
3,4,1,0,2,40131
3,4,1,99,3,40132
4,4,1,192,3,40133
0,4,1,12,4,40134
0,4,1,99,4,40135
0,4,1,1,5,40136
4,4,1,0,5,40137
0,4,2,198,5,40138
0,4,1,13,5,40139
3,4,1,99,6,40140
4,4,2,99,7,40141
0,4,1,0,2,40142
0,4,1,0,2,40143
0,4,1,0,4,40144
4,4,1,19,4,40145
0,4,1,99,4,40146
0,4,1,1,5,40147
4,4,1,100,5,40148
0,4,1,0,5,40149
0,4,1,0,6,40150
3,4,1,0,7,40151
0,4,1,1,1,40152
0,4,1,0,1,40153
4,4,1,0,1,40154
4,4,1,1,2,40155
0,4,1,0,2,40156
3,4,1,0,2,40157
0,4,1,0,2,40158
0,4,1,6,3,40159
3,4,1,0,3,40160
9,4,1,0,3,40161
0,4,1,15,4,40163
0,4,1,99,6,40164
0,4,1,1,1,40165
0,4,1,0,1,40166
4,4,1,99,1,40167
4,4,1,99,2,40168
4,4,1,99,3,40169
5,4,1,5,5,40170
0,4,1,0,5,40171
0,4,2,0,7,40172
4,4,1,0,1,40173
0,4,1,99,1,40174
9,4,1,99,1,40175
0,4,1,0,1,40176
4,4,1,0,2,40177
0,4,1,99,2,40178
4,4,1,0,3,40179
4,4,1,9,1,40180
4,4,1,3,3,40181
4,4,1,0,7,40182
3,4,1,99,6,40183
0,4,1,12,3,40184
3,4,1,99,1,40185
0,4,1,0,4,40186
0,4,1,0,2,40187
0,4,1,99,3,40188
3,4,1,0,5,40189
0,4,1,12,7,40190
9,4,1,99,7,40191
4,4,1,1,6,40192
0,4,1,0,7,40193
0,4,1,0,6,40194
0,4,1,1,4,40195
9,4,1,99,6,40196
18,4,1,198,6,40197
9,4,1,99,4,40198
4,4,1,99,4,40199
0,4,1,0,7,40200
4,4,>2,99,1,40202
3,4,1,0,1,40203
0,4,1,0,2,40204
4,4,1,99,5,40205
23,4,1,297,5,40206
3,4,1,0,1,40207
0,4,1,0,3,40208
4,4,1,0,7,40209
0,4,1,99,4,40210
0,4,1,99,4,40211
9,4,1,100,4,40212
4,4,1,99,5,40213
0,4,1,99,6,40214
0,4,>2,99,6,40215
0,4,1,0,6,40216
9,4,1,99,7,40217
3,4,1,0,1,40218
6,4,1,99,1,40219
4,4,1,99,1,40220
