ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2,STATE,SPEEDREL,MDRDSTRD,SPEEDREL2,MDRDSTRD2
40358,5,1,4,1,1,1,1,4,0,1,0,1
40360,7,4,4,1,10,1,1,4,0,100,0,1
40361,7,16,4,1,1,1,1,4,4,0,1,0
40362,7,20,4,1,1,1,1,4,4,99,1,0
40365,1,16,2,1,1,1,1,4,0,99,0,0
40366,1,17,4,1,1,1,1,4,0,0,0,0
40367,1,17,4,1,1,1,1,4,0,1,0,1
40377,7,9,4,1,1,1,1,4,0,0,0,0
40381,6,13,3,1,1,1,1,4,0,0,0,0
40383,1,1,4,1,1,1,1,4,0,1,0,1
40385,2,15,6,1,1,1,1,4,18,198,1,1
40387,4,6,4,1,1,1,1,4,0,0,0,0
40395,2,18,4,1,10,1,1,4,0,99,0,0
40400,5,0,2,1,1,1,1,4,0,0,0,0
40401,5,1,4,1,1,1,1,4,0,99,0,0
40404,1,20,3,1,1,1,1,4,0,99,0,0
40413,6,15,1,1,1,1,1,4,0,0,0,0
40415,7,20,4,1,1,1,1,4,9,99,1,0
40417,5,22,4,1,1,1,1,4,0,0,0,0
40419,6,20,5,1,10,1,1,4,0,0,0,0
40420,7,20,4,1,1,1,1,4,0,0,0,0
40427,6,9,4,1,10,1,1,4,3,198,1,1
40429,1,7,4,1,1,1,1,4,0,100,0,1
40430,3,3,2,1,1,1,1,4,4,99,1,0
40433,5,16,4,1,1,1,1,4,0,99,0,0
40439,4,1,4,1,10,1,1,4,0,99,0,0
40442,4,20,4,1,10,1,1,4,0,1,0,1
40443,6,23,2,1,1,1,1,4,3,99,1,0
40444,7,5,1,1,1,1,1,4,3,99,1,0
40451,3,23,4,1,10,1,1,4,9,1,1,1
40452,4,17,5,1,10,1,1,4,0,99,0,0
40454,6,2,2,1,1,1,1,4,4,99,1,0
40462,4,18,4,1,1,1,1,4,0,0,0,0
40463,6,19,1,1,1,1,1,4,0,99,0,0
40466,5,4,2,1,1,1,1,4,0,99,0,0
40473,1,3,4,1,1,1,1,4,9,17,1,1
40491,2,18,4,1,2,1,1,4,8,99,1,0
40493,5,12,4,1,1,1,1,4,0,99,0,0
40494,4,5,4,1,1,1,1,4,9,99,1,0
40496,2,7,4,1,1,1,1,4,0,0,0,0
40500,2,21,5,1,1,1,1,4,0,0,0,0
40501,2,22,4,1,1,1,1,4,0,0,0,0
40502,2,22,4,1,1,1,1,4,3,0,1,0
40506,5,11,4,1,1,1,1,4,4,99,1,0
40510,3,10,5,1,10,1,1,4,0,99,0,0
40511,3,12,4,1,1,1,1,4,0,99,0,0
40515,5,12,5,1,1,1,1,4,0,198,0,1
40518,1,3,2,1,1,1,1,4,4,99,1,0
40520,2,7,4,1,1,1,1,4,0,99,0,0
40522,5,5,4,1,1,1,1,4,0,0,0,0
40531,1,20,4,1,1,1,1,4,0,0,0,0
40532,3,7,4,1,1,1,1,4,3,99,1,0
40550,6,15,4,1,10,1,1,4,4,99,1,0
40565,7,10,4,1,1,1,1,4,0,99,0,0
40569,2,20,4,1,10,1,1,4,0,99,0,0
40570,3,6,4,1,1,1,1,4,0,99,0,0
40575,7,23,6,1,10,1,1,4,0,99,0,0
40576,7,23,4,1,1,1,1,4,0,1,0,1
40577,3,14,4,1,1,1,1,4,0,0,0,0
40578,3,20,2,1,1,1,1,4,3,198,1,1
40580,4,21,4,1,1,1,1,4,0,0,0,0
40582,2,23,3,1,10,1,1,4,3,198,1,1
40584,7,9,4,1,1,1,1,4,4,99,1,0
40585,7,18,1,1,1,1,1,4,0,17,0,1
40586,3,5,4,1,1,1,1,4,0,0,0,0
40587,4,12,4,1,1,1,1,4,0,99,0,0
40588,1,20,2,1,1,1,1,4,9,1,1,1
40589,6,14,3,1,1,1,1,4,3,99,1,0
40591,4,11,4,1,1,1,1,4,0,0,0,0
40593,3,18,4,1,1,1,1,4,0,1,0,1
40594,3,22,4,1,10,1,1,4,0,1,0,1
40597,5,19,4,1,1,1,1,4,0,1,0,1
40602,6,6,4,1,1,1,1,4,0,99,0,0
40612,7,21,4,1,1,1,1,4,0,99,0,0
40613,1,1,4,1,1,1,1,4,3,99,1,0
40615,2,22,4,1,1,1,1,4,0,1,0,1
40617,5,23,4,1,10,1,1,4,0,17,0,1
40620,7,21,9,1,1,1,1,4,9,99,1,0
40629,7,5,4,1,1,1,1,4,0,99,0,0
40631,2,13,6,1,1,1,1,4,0,99,0,0
